BreedName,SizeClass,count
Yorkshire Terrier,Small,40224
Shih Tzu,Small,37108
Chihuahua,Small,28086
Labrador Retriever,Large/Medium,21852
Maltese,Small,20858
Labrador Retriever Crossbreed,Large/Medium,19334
American Pit Bull Mix / Pit Bull Mix,Large/Medium,17271
Shih Tzu Crossbreed,Small,14549
Pomeranian,Small,13984
Poodle Crossbreed,Small,13440
American Pit Bull Terrier/Pit Bull,Large/Medium,13131
Havanese,Small,12265
Chihuahua Crossbreed,Small,11548
Golden Retriever,Large/Medium,10890
French Bulldog,Large/Medium,10839
